Regione;Provincia;Comune;Nome PCN;Latitudine;Longitudine
Abruzzo;Chieti;COLLEDIMEZZO;POP_CH_13_COLLEDIMEZZO;41,986148;14,385157
Abruzzo;Chieti;CASOLI;POP_CH_02_CASOLI;42,124997;14,298431
Abruzzo;Chieti;ATESSA;POP_CH_04_ATESSA;42,0688056;14,4572222
Abruzzo;Chieti;CASTELGUIDONE;POP_CH_05_CASTELGUIDONE;41,81847;14,52316
Abruzzo;Chieti;GUARDIAGRELE;POP_CH_06_GUARDIAGRELE;42,187554;14,212727
Abruzzo;Chieti;SAN BUONO;POP_CH_11_SAN BUONO;41,9838611;14,5618389
Abruzzo;Chieti;SAN GIOVANNI TEATINO;POP_CH_15_SAN_GIOVANNI_TEATINO;42,41008;14,17819
Abruzzo;Chieti;BORRELLO;POP_CH_08_BORRELLO;41,91648;14,307216
Abruzzo;Chieti;CANOSA SANNITA;POP_CH_10_CANOSA_SANNITA;42,29085;14,308434
Abruzzo;Chieti;FOSSACESIA;POP_CH_03_FOSSACESIA;42,228612;14,433379
Abruzzo;Chieti;PENNADOMO;POP_CH_14_PENNADOMO;42,003803;14,321358
Abruzzo;Chieti;PRETORO;POP_CH_16_PRETORO;42,221547;14,142474
Abruzzo;Chieti;TARANTA PELIGNA;POP_CH_07_TARANTA_PELIGNA;42,014073;14,167009
Abruzzo;L'Aquila;COCULLO;POP_AQ_02_COCULLO;42,030007;13,775152
Abruzzo;L'Aquila;RIVISONDOLI;POP_AQ_04_RIVISONDOLI;41,8704;14,05359
Abruzzo;L'Aquila;CARSOLI;POP_AQ_07_CARSOLI;42,091972;13,075109
Abruzzo;L'Aquila;PRATA D'ANSIDONIA;POP_AQ_09_PRATA_D'ANSIDONIA;42,276622;13,636393
Abruzzo;L'Aquila;CAMPO DI GIOVE;POP_AQ_19_CAMPO DI GIOVE;42,009848;14,032962
Abruzzo;L'Aquila;PESCINA;POP_AQ_13_PESCINA;42,021887;13,652816
Abruzzo;L'Aquila;CAPESTRANO;POP_AQ_20_CAPESTRANO;42,271;13,7584167
Abruzzo;L'Aquila;CAPPADOCIA;POP_AQ_05_CAPPADOCIA;42,006652;13,276671
Abruzzo;L'Aquila;OFENA;POP_AQ_08_OFENA;42,325327;13,760279
Abruzzo;L'Aquila;PRATOLA PELIGNA;POP_AQ_12_PRATOLA_PELIGNA;42,101207;13,879228
Abruzzo;Pescara;CASTIGLIONE A CASAURIA;POP_PE_02_CASTIGLIONE_A_CASAURIA;42,234835;13,92541
Abruzzo;Pescara;CIVITAQUANA;POP_PE_04_CIVITAQUANA;42,320579;13,87933
Abruzzo;Pescara;MONTEBELLO DI BERTONA;POP_PE_05_MONTEBELLO_DI_BERTONA;42,41472;13,86947
Abruzzo;Pescara;LORETO APRUTINO;POP_PE_07_LORETO_APRUTINO;42,435941;13,979859
Abruzzo;Teramo;MONTORIO AL VOMANO;POP_TE_01_MONTORIO AL VOMANO;42,579994;13,643963
Abruzzo;Teramo;ISOLA DEL GRAN SASSO D'ITALIA;POP_TE_07_ISOLA DEL GRAN SASSO D'ITALIA;42,5085889;13,6652972
Abruzzo;Teramo;CIVITELLA DEL TRONTO;POP_TE_03_CIVITELLA_DEL_TRONTO;42,7986111;13,7280278
Lazio;Frosinone;AMASENO;POP_FR_20_AMASENO;41,464738;13,333237
Lazio;Frosinone;ARCE;POP_FR_05_ARCE;41,573606;13,578722
Lazio;Frosinone;ALATRI;POP_FR_12_ALATRI;41,720047;13,338822
Lazio;Frosinone;CEPRANO;POP_FR_19_CEPRANO;41,536119;13,515972
Lazio;Frosinone;SANT'APOLLINARE;POP_FR_17_SANT'APOLLINARE;41,4034778;13,8320833
Lazio;Frosinone;VILLA SANTO STEFANO;POP_FR_21_VILLA_SANTO_STEFANO;41,518059;13,30266
Lazio;Latina;MONTE SAN BIAGIO;POP_LT_08_MONTE_SAN_BIAGIO;41,346875;13,346614
Lazio;Rieti;PESCOROCCHIANO;POP_RI_04_PESCOROCCHIANO;42,20408;13,14881
Lazio;Rieti;TARANO;POP_RI_08_TARANO;42,320819;12,58633
Lazio;Rieti;CITTADUCALE;POP_RI_10_CITTADUCALE;42,38986;12,958315
Lazio;Rieti;FARA IN SABINA;POP_RI_11_FARA_IN_SABINA;42,188491;12,693694
Lazio;Rieti;LEONESSA;POP_RI_03_LEONESSA;42,571275;12,962953
Lazio;Rieti;MAGLIANO SABINA;POP_RI_12_MAGLIANO_SABINA;42,371722;12,490389
Lazio;Roma;AGOSTA;POP_RM_12_AGOSTA;41,960556;13,048593
Lazio;Roma;ANGUILLARA SABAZIA;POP_RM_15_ANGUILLARA_SABAZIA;42,08321;12,28059
Lazio;Roma;ARICCIA;POP_RM_08_ARICCIA;41,7258944;12,676425
Lazio;Roma;CAMPAGNANO DI ROMA;POP_RM_02_CAMPAGNANO_DI_ROMA;42,1355;12,373875
Lazio;Roma;CASTELNUOVO DI PORTO;POP_RM_17_CASTELNUOVO_DI_PORTO;42,100995;12,581191
Lazio;Roma;CAVE;POP_RM_06_CAVE;41,818848;12,947856
Lazio;Roma;SANT'ORESTE;POP_RM_16_SANT'ORESTE;42,232284;12,514821
Lazio;Roma;CAPENA;POP_RM_23_CAPENA;42,1381005;12,5464457
Lazio;Roma;SANT'ANGELO ROMANO;POP_RM_10_SANT'ANGELO_ROMANO;42,027447;12,693047
Lazio;Viterbo;GROTTE DI CASTRO;POP_VT_06_GROTTE_DI_CASTRO;42,6744825;11,8660956
Lazio;Viterbo;BLERA;POP_VT_11_BLERA;42,265931;12,025286
Lazio;Viterbo;CAPRAROLA;POP_VT_09_CAPRAROLA;42,3257;12,233303
Lazio;Viterbo;CIVITA CASTELLANA;POP_VT_05_CIVITA_CASTELLANA;42,322453;12,442909
Lazio;Viterbo;MARTA;POP_VT_04_MARTA;42,529331;11,921242
Lazio;Viterbo;SORIANO NEL CIMINO;POP_VT_08_SORIANO_NEL_CIMINO;42,442048;12,260737
Lazio;Viterbo;MONTE ROMANO;POP_VT_07_MONTE_ROMANO;42,273186;11,907142
Marche;Ancona;FABRIANO;POP_AN_03_FABRIANO;43,33942;12,999685
Marche;Ancona;CUPRAMONTANA;POP_AN_12_CUPRAMONTANA;43,448347;13,119181
Marche;Ancona;MONTE SAN VITO;POP_AN_08_MONTE_SAN_VITO;43,597993;13,284912
Marche;Ancona;SERRA SAN QUIRICO;POP_AN_06_SERRA_SAN_QUIRICO;43,46204;13,06059
Marche;Ascoli Piceno;ARQUATA DEL TRONTO;POP_AP_03_ARQUATA_DEL_TRONTO;42,773846;13,298324
Marche;Ascoli Piceno;CASTEL DI LAMA;POP_AP_04_CASTEL_DI_LAMA;42,861058;13,702416
Marche;Ascoli Piceno;COSSIGNANO;POP_AP_06_COSSIGNANO;42,9847826;13,6917081
Marche;Ascoli Piceno;FOLIGNANO;POP_AP_10_FOLIGNANO;42,8354123;13,633653
Marche;Ascoli Piceno;GROTTAMMARE;POP_AP_02_GROTTAMMARE;42,987688;13,858961
Marche;Ascoli Piceno;MONTEFIORE DELL'ASO;POP_AP_07_MONTEFIORE_DELL'ASO;43,050343;13,7526995
Marche;Ascoli Piceno;RIPATRANSONE;POP_AP_11_RIPATRANSONE;42,995406;13,768957
Marche;Ascoli Piceno;MONTALTO DELLE MARCHE;POP_AP_05_MONTALTO_DELLE_MARCHE;42,988329;13,605985
Marche;Fermo;AMANDOLA;POP_FM_02_AMANDOLA;42,972585;13,361012
Marche;Fermo;MONTELPARO;POP_FM_04_MONTELPARO;43,0169631;13,5377161
Marche;Fermo;MONTE RINALDO;POP_FM_08_MONTE_RINALDO;43,028083;13,590306
Marche;Macerata;USSITA;POP_MC_05_USSITA;42,944021;13,138184
Marche;Macerata;CALDAROLA;POP_MC_08_CALDAROLA;43,1454891;13,2252458
Marche;Macerata;PIORACO;POP_MC_07_PIORACO;43,179004;12,979787
Marche;Pesaro Urbino;MONTEFELCINO;POP_PU_07_MONTEFELCINO;43,714247;12,855114
Marche;Pesaro Urbino;ORCIANO DI PESARO;POP_PU_10_ORCIANO_DI_PESARO;43,6791598;12,9501604
Marche;Pesaro Urbino;PIOBBICO;POP_PU_08_PIOBBICO;43,585245;12,5066102
Molise;Campobasso;CASTELBOTTACCIO;POP_CB_13_CASTELBOTTACCIO;41,74863;14,70956
Molise;Campobasso;SALCITO;POP_CB_05_SALCITO;41,74528;14,51346
Molise;Campobasso;SAN GIULIANO DEL SANNIO;POP_CB_07_SAN_GIULIANO_DEL_SANNIO;41,461308;14,645603
Molise;Campobasso;MATRICE;POP_CB_10_MATRICE;41,6147222;14,7093611
Molise;Campobasso;JELSI;POP_CB_06_JELSI;41,51991;14,793551
